id,from,to,label,weight
276,79,81,2019,1
277,79,82,2019,1
278,79,83,2019,1
279,79,84,2019,1
280,79,85,2019,1
281,79,86,2019,1
282,79,31,2019,1
283,80,81,2019,1
284,80,82,2019,1
285,80,83,2019,1
286,80,84,2019,1
287,80,85,2019,1
288,80,86,2019,1
289,80,31,2019,1
290,81,82,2019,1
291,81,83,2019,1
292,81,84,2019,1
293,81,85,2019,1
294,81,86,2019,1
295,81,31,2019,1
296,82,83,2019,1
297,82,84,2019,1
298,82,85,2019,1
299,82,86,2019,1
300,82,31,2019,1
301,83,84,2019,1
302,83,85,2019,1
303,83,86,2019,1
304,83,31,2019,1
305,84,85,2019,1
306,84,86,2019,1
307,84,31,2019,1
308,85,86,2019,1
309,85,31,2019,1
310,86,31,2019,1
311,87,79,2020,1
312,87,88,2020,1
313,87,37,2020,1
314,87,89,2020,1
315,87,68,2020,1
316,87,90,2020,1
317,87,72,2020,1
318,87,13,2020,1
319,87,91,2020,1
320,87,70,2020,1
321,87,36,2020,1
322,87,92,2020,1
323,79,88,2020,1
324,79,37,2020,1
325,79,89,2020,1
326,79,68,2020,1
327,79,90,2020,1
328,79,72,2020,1
329,79,13,2020,1
330,79,91,2020,1
331,79,70,2020,1
332,79,36,2020,1
333,79,92,2020,1
334,88,37,2020,1
335,88,89,2020,1
336,88,68,2020,1
337,88,90,2020,1
338,88,72,2020,1
339,88,13,2020,1
340,88,91,2020,1
341,88,70,2020,1
342,88,36,2020,1
343,88,92,2020,1
344,37,89,2020,1
345,37,68,2020,1
346,37,90,2020,1
347,37,72,2020,1
348,37,13,2020,1
349,37,91,2020,1
350,37,70,2020,1
351,37,36,2020,1
352,37,92,2020,1
353,89,68,2020,1
354,89,90,2020,1
355,89,72,2020,1
356,89,13,2020,1
357,89,91,2020,1
358,89,70,2020,1
359,89,36,2020,1
361,89,92,2020,1
362,68,90,2020,1
363,68,72,2020,1
364,68,13,2020,1
365,68,91,2020,1
366,68,70,2020,1
367,68,36,2020,1
370,68,92,2020,1
371,90,72,2020,1
372,90,13,2020,1
373,90,91,2020,1
374,90,70,2020,1
375,90,36,2020,1
378,90,92,2020,1
379,72,13,2020,1
380,72,91,2020,1
381,72,70,2020,1
382,72,36,2020,1
385,72,92,2020,1
386,13,91,2020,1
387,13,70,2020,1
388,13,36,2020,1
391,13,92,2020,1
392,91,70,2020,1
393,91,36,2020,1
396,91,92,2020,1
397,70,36,2020,1
401,70,92,2020,1
405,36,92,2020,1
406,41,9,2021,1
407,41,4,2021,1
408,41,93,2021,1
409,41,27,2021,1
410,41,20,2021,1
411,9,4,2021,1
412,9,93,2021,1
413,9,27,2021,1
414,9,20,2021,1
415,4,93,2021,1
416,4,27,2021,1
417,4,20,2021,1
418,93,27,2021,1
419,93,20,2021,1
420,27,20,2021,1
421,80,52,2022,1
422,80,94,2022,1
423,80,1,2022,1
424,80,95,2022,1
425,80,26,2022,1
426,80,96,2022,1
427,80,97,2022,1
428,80,98,2022,1
429,80,24,2022,1
430,80,99,2022,1
431,80,5,2022,1
432,52,94,2022,1
433,52,1,2022,1
434,52,95,2022,1
435,52,26,2022,1
436,52,96,2022,1
437,52,97,2022,1
438,52,98,2022,1
439,52,24,2022,1
441,52,99,2022,1
442,52,5,2022,1
443,94,1,2022,1
444,94,95,2022,1
445,94,26,2022,1
446,94,96,2022,1
447,94,97,2022,1
448,94,98,2022,1
449,94,24,2022,1
451,94,99,2022,1
452,94,5,2022,1
453,1,95,2022,1
454,1,26,2022,1
455,1,96,2022,1
456,1,97,2022,1
457,1,98,2022,1
458,1,24,2022,1
460,1,99,2022,1
461,1,5,2022,1
462,95,26,2022,1
464,95,96,2022,1
465,95,97,2022,1
466,95,98,2022,1
467,95,24,2022,1
469,95,99,2022,1
470,95,5,2022,1
472,26,96,2022,1
473,26,97,2022,1
474,26,98,2022,1
475,26,24,2022,1
477,26,99,2022,1
478,26,5,2022,1
479,96,97,2022,1
480,96,98,2022,1
481,96,24,2022,1
483,96,99,2022,1
484,96,5,2022,1
485,97,98,2022,1
486,97,24,2022,1
488,97,99,2022,1
489,97,5,2022,1
490,98,24,2022,1
492,98,99,2022,1
493,98,5,2022,1
495,24,99,2022,1
496,24,5,2022,1
497,99,5,2022,1
498,49,19,2023,1
499,49,26,2023,1
500,49,9,2023,1
501,49,100,2023,1
502,49,101,2023,1
503,49,65,2023,1
504,49,102,2023,1
505,49,103,2023,1
506,49,104,2023,1
507,49,105,2023,1
508,19,26,2023,1
509,19,9,2023,1
510,19,100,2023,1
511,19,101,2023,1
512,19,65,2023,1
513,19,102,2023,1
514,19,103,2023,1
515,19,104,2023,1
517,19,105,2023,1
518,26,9,2023,1
519,26,100,2023,1
520,26,101,2023,1
521,26,65,2023,1
522,26,102,2023,1
523,26,103,2023,1
524,26,104,2023,1
526,26,105,2023,1
527,9,100,2023,1
528,9,101,2023,1
529,9,65,2023,1
530,9,102,2023,1
531,9,103,2023,1
532,9,104,2023,1
534,9,105,2023,1
535,100,101,2023,1
536,100,65,2023,1
537,100,102,2023,1
538,100,103,2023,1
539,100,104,2023,1
541,100,105,2023,1
542,101,65,2023,1
543,101,102,2023,1
544,101,103,2023,1
545,101,104,2023,1
547,101,105,2023,1
548,65,102,2023,1
549,65,103,2023,1
550,65,104,2023,1
552,65,105,2023,1
553,102,103,2023,1
554,102,104,2023,1
556,102,105,2023,1
557,103,104,2023,1
559,103,105,2023,1
561,104,105,2023,1
562,106,20,2024,1
563,106,67,2024,1
564,106,66,2024,1
565,106,41,2024,1
566,106,107,2024,1
567,106,108,2024,1
568,106,31,2024,1
569,20,67,2024,1
570,20,66,2024,1
571,20,41,2024,1
572,20,107,2024,1
573,20,108,2024,1
574,20,31,2024,1
575,67,66,2024,1
576,67,41,2024,1
577,67,107,2024,1
578,67,108,2024,1
579,67,31,2024,1
580,66,41,2024,1
581,66,107,2024,1
582,66,108,2024,1
583,66,31,2024,1
584,41,107,2024,1
585,41,108,2024,1
586,41,31,2024,1
587,107,108,2024,1
588,107,31,2024,1
589,108,31,2024,1
590,109,21,2025,1
591,109,110,2025,1
592,109,53,2025,1
593,109,111,2025,1
594,109,112,2025,1
595,109,113,2025,1
596,109,114,2025,1
597,109,89,2025,1
598,109,24,2025,1
599,109,98,2025,1
600,109,42,2025,1
601,109,27,2025,1
602,109,100,2025,1
603,109,115,2025,1
604,109,116,2025,1
605,109,117,2025,1
606,109,118,2025,1
607,21,110,2025,1
608,21,53,2025,1
609,21,111,2025,1
610,21,112,2025,1
611,21,113,2025,1
612,21,114,2025,1
613,21,89,2025,1
614,21,24,2025,1
615,21,98,2025,1
616,21,42,2025,1
617,21,27,2025,1
618,21,100,2025,1
619,21,115,2025,1
620,21,116,2025,1
621,21,117,2025,1
622,21,118,2025,1
623,110,53,2025,1
624,110,111,2025,1
625,110,112,2025,1
626,110,113,2025,1
627,110,114,2025,1
628,110,89,2025,1
629,110,24,2025,1
630,110,98,2025,1
631,110,42,2025,1
632,110,27,2025,1
633,110,100,2025,1
634,110,115,2025,1
635,110,116,2025,1
636,110,117,2025,1
637,110,118,2025,1
638,53,111,2025,1
639,53,112,2025,1
640,53,113,2025,1
641,53,114,2025,1
642,53,89,2025,1
643,53,24,2025,1
644,53,98,2025,1
645,53,42,2025,1
646,53,27,2025,1
647,53,100,2025,1
648,53,115,2025,1
649,53,116,2025,1
650,53,117,2025,1
651,53,118,2025,1
652,111,112,2025,1
653,111,113,2025,1
654,111,114,2025,1
655,111,89,2025,1
656,111,24,2025,1
657,111,98,2025,1
658,111,42,2025,1
659,111,27,2025,1
660,111,100,2025,1
661,111,115,2025,1
662,111,116,2025,1
663,111,117,2025,1
664,111,118,2025,1
665,112,113,2025,1
666,112,114,2025,1
667,112,89,2025,1
668,112,24,2025,1
669,112,98,2025,1
670,112,42,2025,1
671,112,27,2025,1
672,112,100,2025,1
673,112,115,2025,1
674,112,116,2025,1
675,112,117,2025,1
676,112,118,2025,1
677,113,114,2025,1
678,113,89,2025,1
679,113,24,2025,1
680,113,98,2025,1
681,113,42,2025,1
682,113,27,2025,1
683,113,100,2025,1
684,113,115,2025,1
685,113,116,2025,1
686,113,117,2025,1
687,113,118,2025,1
688,114,89,2025,1
689,114,24,2025,1
690,114,98,2025,1
691,114,42,2025,1
692,114,27,2025,1
693,114,100,2025,1
694,114,115,2025,1
695,114,116,2025,1
696,114,117,2025,1
697,114,118,2025,1
698,89,24,2025,1
699,89,98,2025,1
700,89,42,2025,1
701,89,27,2025,1
702,89,100,2025,1
703,89,115,2025,1
704,89,116,2025,1
705,89,117,2025,1
706,89,118,2025,1
707,24,98,2025,1
708,24,42,2025,1
709,24,27,2025,1
710,24,100,2025,1
711,24,115,2025,1
712,24,116,2025,1
713,24,117,2025,1
714,24,118,2025,1
716,98,42,2025,1
717,98,27,2025,1
718,98,100,2025,1
719,98,115,2025,1
720,98,116,2025,1
721,98,117,2025,1
722,98,118,2025,1
724,42,27,2025,1
725,42,100,2025,1
726,42,115,2025,1
727,42,116,2025,1
728,42,117,2025,1
729,42,118,2025,1
730,27,100,2025,1
731,27,115,2025,1
732,27,116,2025,1
733,27,117,2025,1
734,27,118,2025,1
735,100,115,2025,1
736,100,116,2025,1
737,100,117,2025,1
738,100,118,2025,1
739,115,116,2025,1
740,115,117,2025,1
741,115,118,2025,1
742,116,117,2025,1
743,116,118,2025,1
744,117,118,2025,1
745,119,120,2026,1
746,119,65,2026,1
747,119,121,2026,1
748,119,122,2026,1
749,119,21,2026,1
750,119,5,2026,1
751,119,123,2026,1
752,119,4,2026,1
753,119,31,2026,1
754,119,42,2026,1
755,119,124,2026,1
756,119,17,2026,1
757,119,125,2026,1
758,119,11,2026,1
759,119,126,2026,1
760,120,65,2026,1
761,120,121,2026,1
762,120,122,2026,1
763,120,21,2026,1
764,120,5,2026,1
765,120,123,2026,1
766,120,4,2026,1
767,120,31,2026,1
768,120,42,2026,1
769,120,124,2026,1
770,120,17,2026,1
771,120,125,2026,1
772,120,11,2026,1
773,120,126,2026,1
774,65,121,2026,1
775,65,122,2026,1
776,65,21,2026,1
777,65,5,2026,1
778,65,123,2026,1
779,65,4,2026,1
780,65,31,2026,1
781,65,42,2026,1
782,65,124,2026,1
783,65,17,2026,1
784,65,125,2026,1
785,65,11,2026,1
786,65,126,2026,1
787,121,122,2026,1
788,121,21,2026,1
789,121,5,2026,1
790,121,123,2026,1
791,121,4,2026,1
